Id,MSZoning,LotArea,Neighborhood,Condition1,OverallQual,OverallCond,YearBuilt,YearRemodAdd,BsmtFinSF1,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,Functional,Fireplaces,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,ScreenPorch,SaleCondition,SalePrice
1,3.0,9.042040056544485,5.0,2.0,7.0,4.0,2003.0,2003.0,6.561030665896572,6.753437918597782,6.753437918597782,6.751101468936759,7.444833273892192,1.0,6.0,0.0,2003.0,2.0,548.0,0.0,4.127134385045092,0.0,4.0,12.247694320220996
2,3.0,9.169622538697624,24.0,1.0,6.0,7.0,1976.0,1976.0,6.886531642530509,7.141245122350491,7.141245122350491,0.0,7.141245122350491,0.0,6.0,1.0,1976.0,2.0,460.0,5.700443573390688,0.0,0.0,4.0,12.109010932687044
3,3.0,9.328212292571072,5.0,2.0,7.0,4.0,2001.0,2002.0,6.18826412308259,6.825460036255307,6.825460036255307,6.765038976780541,7.488293515159427,1.0,6.0,1.0,2001.0,2.0,608.0,0.0,3.7612001156935615,0.0,4.0,12.31716669303576
4,3.0,9.164401140034736,6.0,2.0,7.0,4.0,1915.0,1970.0,5.37989735354046,6.6293632534374485,6.8690144506657065,6.6293632534374485,7.4489161025442,1.0,6.0,1.0,1998.0,3.0,642.0,0.0,3.58351893845611,0.0,0.0,11.849397701591439
5,3.0,9.565283817736765,15.0,2.0,8.0,4.0,2000.0,2000.0,6.4861607889440895,7.044032897274685,7.044032897274685,6.960347729101308,7.695757990554763,1.0,6.0,1.0,2000.0,3.0,836.0,5.262690188904887,4.442651256490317,0.0,4.0,12.429216196844385
6,3.0,9.55506418479516,11.0,2.0,5.0,4.0,1993.0,1995.0,6.597145701886651,6.680854678790215,6.680854678790215,6.3403593037277535,7.217443431696532,1.0,6.0,0.0,1993.0,2.0,480.0,3.713572066704309,3.4339872044851463,0.0,4.0,11.870599909242046
7,3.0,9.218804450388312,21.0,2.0,8.0,4.0,2004.0,2005.0,7.22256601882217,7.430707082545968,7.435438019814549,0.0,7.435438019814549,1.0,6.0,1.0,2004.0,2.0,636.0,5.545177444479562,4.060443010546419,0.0,4.0,12.634603026569335
8,3.0,9.247925132303454,14.0,4.0,7.0,5.0,1973.0,1973.0,6.756932389247552,7.010311867307229,7.010311867307229,6.891625897052253,7.645397699428632,1.0,6.0,2.0,1973.0,2.0,484.0,5.4638318050256105,5.3230099791384085,0.0,4.0,12.206072645530176
9,4.0,8.71948076085107,17.0,0.0,7.0,4.0,1931.0,1950.0,0.0,6.859614903654202,6.930494765951626,6.6240652277998935,7.4815557019095165,0.0,2.0,2.0,1931.0,2.0,468.0,4.51085950651685,0.0,0.0,0.0,11.774520202658687
10,3.0,8.912069097970132,3.0,0.0,5.0,5.0,1939.0,1950.0,6.747586526829315,6.899723107284872,6.982862751468942,0.0,6.982862751468942,1.0,6.0,2.0,1939.0,1.0,205.0,0.0,1.6094379124341005,0.0,4.0,11.6784399034478
11,3.0,9.323758339011741,19.0,2.0,5.0,4.0,1965.0,1965.0,6.810142450115137,6.947937068614969,6.947937068614969,0.0,6.947937068614969,1.0,6.0,0.0,1965.0,1.0,384.0,0.0,0.0,0.0,4.0,11.771436160121727
12,3.0,9.386392315756543,16.0,2.0,9.0,4.0,2005.0,2006.0,6.906754778648554,7.069874128458572,7.075808863978387,7.0414116637948085,7.751475318021456,1.0,6.0,2.0,2005.0,3.0,736.0,4.997212273764115,3.0910424533583165,0.0,5.0,12.751299696013492
13,3.0,9.470317173335742,19.0,2.0,5.0,5.0,1962.0,1962.0,6.6039438246004725,6.816735880594968,6.816735880594968,0.0,6.816735880594968,1.0,6.0,0.0,1962.0,1.0,352.0,4.948759890378168,0.0,5.17614973257383,4.0,11.877568578558135
14,3.0,9.273596821611196,5.0,2.0,7.0,4.0,2006.0,2007.0,0.0,7.3098814858247865,7.3098814858247865,0.0,7.3098814858247865,0.0,6.0,1.0,2006.0,3.0,840.0,5.081404364984463,3.5263605246161616,0.0,5.0,12.540757571577293
15,3.0,9.298442820197726,12.0,2.0,6.0,4.0,1960.0,1960.0,6.598509028614515,7.134093721192866,7.134093721192866,0.0,7.134093721192866,1.0,6.0,1.0,1960.0,1.0,352.0,0.0,5.365976015021852,0.0,4.0,11.964001084330445
16,4.0,8.71948076085107,3.0,2.0,7.0,7.0,1929.0,2001.0,0.0,6.725033642166842,6.751101468936759,0.0,6.751101468936759,0.0,6.0,0.0,1991.0,2.0,576.0,3.8918202981106265,4.727387818712341,0.0,4.0,11.790557201568507
17,3.0,9.32741204356202,12.0,2.0,6.0,6.0,1970.0,1970.0,6.3613024775729965,6.912742820493176,6.912742820493176,0.0,6.912742820493176,1.0,6.0,1.0,1970.0,2.0,480.0,0.0,0.0,0.0,4.0,11.911701584927595
18,3.0,9.286560397887593,19.0,2.0,4.0,4.0,1967.0,1967.0,0.0,0.0,7.167809184316442,0.0,7.167809184316442,0.0,6.0,0.0,1967.0,2.0,516.0,0.0,0.0,0.0,4.0,11.407564949312404
19,3.0,9.524859098381523,20.0,5.0,5.0,4.0,2004.0,2004.0,6.472346294500903,7.0166096838942185,7.0166096838942185,0.0,7.0166096838942185,1.0,6.0,0.0,2004.0,2.0,576.0,0.0,4.634728988229637,0.0,4.0,11.976659481202367
20,3.0,8.93075873555827,12.0,2.0,5.0,5.0,1958.0,1965.0,6.22455842927536,6.937314081223682,7.200424892944957,0.0,7.200424892944957,0.0,2.0,0.0,1958.0,1.0,294.0,0.0,0.0,0.0,0.0,11.842229212112827
