Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1,9,3,4.189654742026425,9.042040056544485,1,1,3,3,4,0,5,2,2,0,5,7,4,2003,2003,1,1,12,13,1,5.2832037287379885,2,4,2,2,4,3,2,6.561030665896572,6,0.0,5.017279836814924,6.753437918597781,1,0,1,4,6.753437918597781,6.751101468936759,0.0,7.4448332738921925,1,0.0,2,1,3,0.6931471805599453,2,8,6,0,3,1,2003.0,2,2,548,5,5,2,0.0,4.127134385045092,0.0,0.0,0.0,0.0,3,4,1,0.0,4,2,8,4,12.247694320220996
2,4,3,4.394449154672439,9.169622538697624,1,1,3,3,2,0,24,1,2,0,2,6,7,1976,1976,1,1,8,8,2,0.0,3,4,1,2,4,1,0,6.886531642530509,6,0.0,5.652489180268652,7.141245122350491,1,0,1,4,7.141245122350491,0.0,0.0,7.141245122350491,0,0.6931471805599453,2,0,3,0.6931471805599453,3,6,6,1,5,1,1976.0,2,2,460,5,5,2,5.700443573390687,0.0,0.0,0.0,0.0,0.0,3,4,1,0.0,7,1,8,4,12.109010932687044
3,9,3,4.23410650459726,9.328212292571072,1,1,0,3,4,0,5,2,2,0,5,7,4,2001,2002,1,1,12,13,1,5.093750200806762,2,4,2,2,4,2,2,6.18826412308259,6,0.0,6.075346031088683,6.825460036255307,1,0,1,4,6.825460036255307,6.765038976780541,0.0,7.4882935151594285,1,0.0,2,1,3,0.6931471805599453,2,6,6,1,5,1,2001.0,2,2,608,5,5,2,0.0,3.7612001156935615,0.0,0.0,0.0,0.0,3,4,1,0.0,11,2,8,4,12.31716669303576
4,10,3,4.110873864173311,9.164401140034736,1,1,0,3,0,0,6,2,2,0,5,7,4,1915,1970,1,1,13,15,2,0.0,3,4,0,4,1,3,0,5.37989735354046,6,0.0,6.293419278846482,6.6293632534374485,1,2,1,4,6.8690144506657065,6.6293632534374485,0.0,7.4489161025442,1,0.0,1,0,3,0.6931471805599453,2,7,6,1,2,5,1998.0,3,3,642,5,5,2,0.0,3.58351893845611,5.609471795184961,0.0,0.0,0.0,3,4,1,0.0,4,0,8,0,11.849397701591439
5,9,3,4.442651256490317,9.565283817736765,1,1,0,3,2,0,15,2,2,0,5,8,4,2000,2000,1,1,12,13,1,5.8607862234658645,2,4,2,2,4,0,2,6.4861607889440895,6,0.0,6.1964441277945195,7.044032897274685,1,0,1,4,7.044032897274685,6.960347729101308,0.0,7.695757990554762,1,0.0,2,1,4,0.6931471805599453,2,9,6,1,5,1,2000.0,2,3,836,5,5,2,5.2626901889048865,4.442651256490317,0.0,0.0,0.0,0.0,3,4,1,0.0,3,2,8,4,12.429216196844385
6,8,3,4.4543472962535064,9.55506418479516,1,1,0,3,4,0,11,2,2,0,0,5,4,1993,1995,1,1,12,13,2,0.0,3,4,5,2,4,3,2,6.597145701886651,6,0.0,4.174387269895637,6.680854678790215,1,0,1,4,6.680854678790215,6.3403593037277535,0.0,7.217443431696532,1,0.0,1,1,1,0.6931471805599453,3,5,6,0,3,1,1993.0,3,2,480,5,5,2,3.7135720667043084,3.4339872044851463,0.0,5.771441123130017,0.0,0.0,3,2,3,6.55250788703459,1,3,8,4,11.870599909242046
7,4,3,4.330733340286331,9.218804450388312,1,1,3,3,4,0,21,2,2,0,2,8,4,2004,2005,1,1,12,13,3,5.231108616854587,2,4,2,0,4,0,2,7.22256601882217,6,0.0,5.762051382780178,7.430707082545968,1,0,1,4,7.4354380198145495,0.0,0.0,7.4354380198145495,1,0.0,2,0,3,0.6931471805599453,2,7,6,1,2,1,2004.0,2,2,636,5,5,2,5.545177444479562,4.060443010546419,0.0,0.0,0.0,0.0,3,4,1,0.0,10,1,8,4,12.634603026569335
8,9,3,4.394449154672439,9.247925132303454,1,1,0,3,0,0,14,4,2,0,5,7,5,1973,1973,1,1,6,6,3,5.484796933490656,3,4,1,2,4,2,0,6.756932389247552,1,3.49650756146648,5.37989735354046,7.010311867307229,1,0,1,4,7.010311867307229,6.891625897052253,0.0,7.645397699428632,1,0.0,2,1,3,0.6931471805599453,3,7,6,2,5,1,1973.0,2,2,484,5,5,2,5.4638318050256105,5.3230099791384085,5.433722003554241,0.0,0.0,0.0,3,4,3,5.8607862234658645,2,3,8,4,12.206072645530176
9,8,4,3.951243718581428,8.71948076085107,1,1,3,3,4,0,17,0,2,0,0,7,4,1931,1950,1,1,3,15,2,0.0,3,4,0,4,4,3,6,0.0,6,0.0,6.859614903654202,6.859614903654202,1,2,1,1,6.930494765951626,6.6240652277998935,0.0,7.4815557019095165,0,0.0,2,0,2,1.0986122886681096,3,8,2,2,5,5,1931.0,3,2,468,1,5,2,4.51085950651685,0.0,5.327876168789581,0.0,0.0,0.0,3,4,1,0.0,6,2,8,0,11.774520202658689
10,3,3,3.9318256327243257,8.912069097970132,1,1,3,3,0,0,3,0,0,1,1,5,5,1939,1950,1,1,8,8,2,0.0,3,4,0,4,4,3,2,6.747586526829315,6,0.0,4.948759890378168,6.899723107284872,1,0,1,4,6.982862751468942,0.0,0.0,6.982862751468942,1,0.0,1,0,2,1.0986122886681096,3,5,6,2,5,1,1939.0,2,1,205,2,5,2,0.0,1.6094379124341005,0.0,0.0,0.0,0.0,3,4,1,0.0,0,2,8,4,11.6784399034478
