Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1,9,3,4.189654742026425,9.042040056544483,1,1,3,3,4,0,5,2,2,0,5,7,4,2003,2003,1,1,12,13,1,5.2832037287379885,2,4,2,2,4,3,2,6.561030665896573,6,0.0,5.017279836814924,6.75343791859778,1,0,1,4,6.75343791859778,6.75110146893676,0.0,7.444833273892193,1,0.0,2,1,3,0.6931471805599453,2,8,6,0,3,1,2003.0,2,2,548,5,5,2,0.0,4.127134385045092,0.0,0.0,0.0,0.0,3,4,1,0.0,4,2,8,4,12.247694320220994
2,4,3,4.394449154672439,9.169622538697624,1,1,3,3,2,0,24,1,2,0,2,6,7,1976,1976,1,1,8,8,2,0.0,3,4,1,2,4,1,0,6.88653164253051,6,0.0,5.652489180268651,7.141245122350491,1,0,1,4,7.141245122350491,0.0,0.0,7.141245122350491,0,0.6931471805599453,2,0,3,0.6931471805599453,3,6,6,1,5,1,1976.0,2,2,460,5,5,2,5.700443573390686,0.0,0.0,0.0,0.0,0.0,3,4,1,0.0,7,1,8,4,12.109010932687042
3,9,3,4.23410650459726,9.328212292571072,1,1,0,3,4,0,5,2,2,0,5,7,4,2001,2002,1,1,12,13,1,5.093750200806762,2,4,2,2,4,2,2,6.18826412308259,6,0.0,6.075346031088684,6.825460036255307,1,0,1,4,6.825460036255307,6.7650389767805414,0.0,7.488293515159428,1,0.0,2,1,3,0.6931471805599453,2,6,6,1,5,1,2001.0,2,2,608,5,5,2,0.0,3.7612001156935624,0.0,0.0,0.0,0.0,3,4,1,0.0,11,2,8,4,12.31716669303576
4,10,3,4.110873864173311,9.164401140034737,1,1,0,3,0,0,6,2,2,0,5,7,4,1915,1970,1,1,13,15,2,0.0,3,4,0,4,1,3,0,5.37989735354046,6,0.0,6.293419278846481,6.6293632534374485,1,2,1,4,6.8690144506657065,6.6293632534374485,0.0,7.4489161025442,1,0.0,1,0,3,0.6931471805599453,2,7,6,1,2,5,1998.0,3,3,642,5,5,2,0.0,3.58351893845611,5.60947179518496,0.0,0.0,0.0,3,4,1,0.0,4,0,8,0,11.84939770159144
5,9,3,4.442651256490317,9.565283817736766,1,1,0,3,2,0,15,2,2,0,5,8,4,2000,2000,1,1,12,13,1,5.860786223465865,2,4,2,2,4,0,2,6.486160788944089,6,0.0,6.19644412779452,7.044032897274685,1,0,1,4,7.044032897274685,6.960347729101308,0.0,7.695757990554761,1,0.0,2,1,4,0.6931471805599453,2,9,6,1,5,1,2000.0,2,3,836,5,5,2,5.262690188904886,4.442651256490317,0.0,0.0,0.0,0.0,3,4,1,0.0,3,2,8,4,12.429216196844383
6,8,3,4.454347296253507,9.55506418479516,1,1,0,3,4,0,11,2,2,0,0,5,4,1993,1995,1,1,12,13,2,0.0,3,4,5,2,4,3,2,6.597145701886651,6,0.0,4.174387269895637,6.680854678790215,1,0,1,4,6.680854678790215,6.340359303727752,0.0,7.217443431696533,1,0.0,1,1,1,0.6931471805599453,3,5,6,0,3,1,1993.0,3,2,480,5,5,2,3.713572066704308,3.4339872044851463,0.0,5.771441123130016,0.0,0.0,3,2,3,6.55250788703459,1,3,8,4,11.870599909242044
7,4,3,4.330733340286331,9.218804450388312,1,1,3,3,4,0,21,2,2,0,2,8,4,2004,2005,1,1,12,13,3,5.231108616854587,2,4,2,0,4,0,2,7.222566018822171,6,0.0,5.762051382780177,7.430707082545968,1,0,1,4,7.43543801981455,0.0,0.0,7.43543801981455,1,0.0,2,0,3,0.6931471805599453,2,7,6,1,2,1,2004.0,2,2,636,5,5,2,5.545177444479562,4.060443010546419,0.0,0.0,0.0,0.0,3,4,1,0.0,10,1,8,4,12.634603026569334
8,9,3,4.394449154672439,9.247925132303454,1,1,0,3,0,0,14,4,2,0,5,7,5,1973,1973,1,1,6,6,3,5.484796933490655,3,4,1,2,4,2,0,6.756932389247553,1,3.4965075614664802,5.37989735354046,7.010311867307229,1,0,1,4,7.010311867307229,6.891625897052253,0.0,7.645397699428633,1,0.0,2,1,3,0.6931471805599453,3,7,6,2,5,1,1973.0,2,2,484,5,5,2,5.4638318050256105,5.3230099791384085,5.43372200355424,0.0,0.0,0.0,3,4,3,5.860786223465865,2,3,8,4,12.206072645530174
9,8,4,3.9512437185814275,8.71948076085107,1,1,3,3,4,0,17,0,2,0,0,7,4,1931,1950,1,1,3,15,2,0.0,3,4,0,4,4,3,6,0.0,6,0.0,6.859614903654202,6.859614903654202,1,2,1,1,6.930494765951626,6.6240652277998935,0.0,7.4815557019095165,0,0.0,2,0,2,1.0986122886681096,3,8,2,2,5,5,1931.0,3,2,468,1,5,2,4.51085950651685,0.0,5.327876168789581,0.0,0.0,0.0,3,4,1,0.0,6,2,8,0,11.77452020265869
10,3,3,3.9318256327243257,8.912069097970134,1,1,3,3,0,0,3,0,0,1,1,5,5,1939,1950,1,1,8,8,2,0.0,3,4,0,4,4,3,2,6.747586526829315,6,0.0,4.948759890378168,6.899723107284872,1,0,1,4,6.982862751468942,0.0,0.0,6.982862751468942,1,0.0,1,0,2,1.0986122886681096,3,5,6,2,5,1,1939.0,2,1,205,2,5,2,0.0,1.6094379124341003,0.0,0.0,0.0,0.0,3,4,1,0.0,0,2,8,4,11.678439903447801
