Algorithm,Score,Mean Squared,Time,Memory
kNN	0.255174175345 3.08496235422 0.99  99468
Decision Tree	0.441949626193 2.89373459852 0.69 ?;
RandomForest	0.67557584325 2.11722414727 1.06 86076
Gradient Boosting	0.676730872549 1.94233574408 4.57 91560
AdaBoost	0.556088389411 2.96804607356 1.70 85548
Gaussian	-1.73937517407 35.6283913914 2.28 207712
Neuronal	
Bagging	0.696132184553 2.01320100172 1.03 86320
Logistic Regression	0.00684931506849 3.30640939599 34.63 95056
SVM	-0.0583367990824 3.41331690689 0.89 91592
